12:09:25.028358 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 1, length 64
12:09:26.033995 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 2, length 64
12:09:27.034248 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 3, length 64
12:09:28.035406 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 4, length 64
12:09:29.037290 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 5, length 64
12:09:30.040380 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 6, length 64
12:09:31.041151 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 7, length 64
12:09:32.042937 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 8, length 64
12:09:33.044533 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 9, length 64
12:09:34.045651 IP 10.244.1.3 > dns.google: ICMP echo request, id 35, seq 10, length 64
